FirstName,LastName,GameDate,Team,Opponent,Minutes,Seconds,FieldGoals,FieldGoalsAttempted,ThreeFieldGoals,ThreeFieldGoalsAttempted,FreeThrows,FreeThrowsAttempted,OffensiveRebounds,DefensiveRebounds,Assists,Steals,Blocks,Turnovers,Fouls,PlusMinus
Tim,Quarterman,Sun Jan 08 2017 00:00:00 GMT+0000 (UTC),POR,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Festus,Ezeli,Sun Jan 08 2017 00:00:00 GMT+0000 (UTC),POR,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shabazz,Napier,Sun Jan 08 2017 00:00:00 GMT+0000 (UTC),POR,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake,Layman,Sun Jan 08 2017 00:00:00 GMT+0000 (UTC),POR,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ed,Davis,Sun Jan 08 2017 00:00:00 GMT+0000 (UTC),POR,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pat,Connaughton,Sun Jan 08 2017 00:00:00 GMT+0000 (UTC),POR,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noah,Vonleh,Sun Jan 08 2017 00:00:00 GMT+0000 (UTC),POR,DET,13,14,0,0,0,0,0,0,0,2,2,0,0,0,0,-3
Meyers,Leonard,Sun Jan 08 2017 00:00:00 GMT+0000 (UTC),POR,DET,18,15,2,8,2,4,0,0,0,4,2,0,0,0,3,-2
Evan,Turner,Sun Jan 08 2017 00:00:00 GMT+0000 (UTC),POR,DET,25,17,2,5,0,1,0,0,0,3,5,2,0,3,1,-13
Allen,Crabbe,Sun Jan 08 2017 00:00:00 GMT+0000 (UTC),POR,DET,42,34,12,15,5,5,1,1,0,1,1,1,0,2,3,-8
Damian,Lillard,Sun Jan 08 2017 00:00:00 GMT+0000 (UTC),POR,DET,43,28,7,16,3,9,3,4,0,9,5,0,0,5,0,3
CJ,McCollum,Sun Jan 08 2017 00:00:00 GMT+0000 (UTC),POR,DET,44,23,16,28,3,9,0,0,0,3,6,1,1,1,0,10
Mason,Plumlee,Sun Jan 08 2017 00:00:00 GMT+0000 (UTC),POR,DET,39,45,4,12,0,1,0,2,6,4,12,1,3,3,3,0
Al-Farouq,Aminu,Sun Jan 08 2017 00:00:00 GMT+0000 (UTC),POR,DET,37,25,7,10,1,3,1,1,1,7,2,0,0,1,1,8
Maurice,Harkless,Sun Jan 08 2017 00:00:00 GMT+0000 (UTC),POR,DET,25,39,1,4,1,3,2,4,0,2,1,0,1,1,0,-5
Michael,Gbinije,Sun Jan 08 2017 00:00:00 GMT+0000 (UTC),DET,POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reggie,Bullock,Sun Jan 08 2017 00:00:00 GMT+0000 (UTC),DET,POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beno,Udrih,Sun Jan 08 2017 00:00:00 GMT+0000 (UTC),DET,POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
